iucn_sid,sciname,common,subpop,habs,max_depth,cat,cat_score
47406916,lutjanus indicus,striped snapper,NA,9.8,< 200 m,lc,0
47406921,lutjanus papuensis,NA,NA,9.8,< 200 m,dd,NA
47407523,pseudochromis eichleri,eichler's dottyback,NA,"9.2, 9.8",< 200 m,dd,NA
47407568,pseudochromis chrysospilus,gold-spotted dottyback,NA,"9.2, 9.8",< 200 m,lc,0
47407633,pseudochromis socotraensis,socotra dottyback,NA,"9.2, 9.7, 9.8",< 200 m,lc,0
47407703,gnatholepis caudimaculata,NA,NA,"9.4, 9.8",< 200 m,lc,0
47407717,upeneus vanuatu,vanuatu goatfish,NA,"11.1, 11.1.1, 11.1.2",deep oceanic,dd,NA
47407760,canthigaster criobe,NA,NA,9.8,< 200 m,dd,NA
47407786,maculabatis randalli,arabian banded whipray,NA,"9.4, 9.5, 9.6",< 200 m,lc,0
47665073,microbrotula geraldalleni,NA,NA,9.8,< 200 m,dd,NA
47685177,aulopareia unicolor,NA,NA,"12.7, 9.10, 9.4, 9.5",< 200 m,lc,0
47686544,gobiodon micropus,small-eyed goby,NA,9.8,< 200 m,dd,NA
47686971,parachaeturichthys polynema,lancet-tail goby,NA,"12.7, 9.10, 9.4, 9.5, 9.6, 9.8, 9.8.5",< 200 m,lc,0
47687060,vanderhorstia mertensi,mertens' prawn-goby,NA,"9.8, 9.8.5",< 200 m,lc,0
47728602,hippocampus colemani,coleman's pygmy seahorse,NA,"9.4, 9.9",< 200 m,dd,NA
47728610,hippocampus debelius,softcoral seahorse,NA,9.8,< 200 m,dd,NA
47728648,hippocampus pusillus,dwarf thorny seahorse,NA,"9.2, 9.8, 9.8.1, 9.8.3, 9.8.6",< 200 m,dd,NA
47728650,hippocampus tyro,NA,NA,9.8,< 200 m,dd,NA
47735321,hippocampus jugumus,collared seahorse,NA,18,unknown,dd,NA
48319933,alloblennius anuchalis,NA,NA,"12.1, 9.2",< 200 m,lc,0
48320326,alloblennius jugularis,jugular blenny,NA,"9.2, 9.8",< 200 m,lc,0
48320397,alloblennius parvus,dwarf blenny,NA,"12.1, 9.2, 9.8",< 200 m,lc,0
48320496,alloblennius pictus,NA,NA,"9.2, 9.8",< 200 m,lc,0
48321090,alticus arnoldorum,leaping rockskipper,NA,"12.1, 9.2",< 200 m,lc,0
48321143,alticus magnusi,NA,NA,"12.1, 9.2",< 200 m,lc,0
48321151,alticus monochrus,NA,NA,"12.1, 9.2",< 200 m,lc,0
48321164,alticus montanoi,NA,NA,"12.1, 9.2",< 200 m,lc,0
48321178,alticus orientalis,NA,NA,"12.1, 9.2",< 200 m,lc,0
48321187,alticus saliens,leaping blenny,NA,"12.1, 9.2",< 200 m,dd,NA
48321442,alticus sertatus,NA,NA,"12.1, 9.2",< 200 m,lc,0
48321557,alticus simplicirrus,marquesan rockskipper,NA,"12.1, 9.2",< 200 m,lc,0
48342089,cirripectes obscurus,gargantuan blenny,NA,"9.2, 9.8",< 200 m,lc,0
48342092,andamia amphibius,NA,NA,"12.1, 9.2",< 200 m,lc,0
48342093,meiacanthus atrodorsalis,eye-lash harptail-blenny,NA,9.8,< 200 m,lc,0
48342097,plagiotremus ewaensis,blue-stripe blenny,NA,9.8,< 200 m,lc,0
48342099,meiacanthus tongaensis,NA,NA,"9.3, 9.4, 9.8",< 200 m,lc,0
48342100,entomacrodus lighti,NA,NA,"9.2, 9.8",< 200 m,lc,0
48342101,ecsenius ops,yellow-eye combtooth-blenny,NA,"9.2, 9.8",< 200 m,lc,0
48342103,cirripectes randalli,NA,NA,"9.2, 9.8",< 200 m,lc,0
48342104,meiacanthus abruptus,NA,NA,"12.7, 9.5, 9.8",< 200 m,vu,0.4
48342105,cirripectes auritus,blackflap blenny,NA,"9.2, 9.8",< 200 m,lc,0
48342108,omobranchus aurosplendidus,NA,NA,"9.1, 9.2",< 200 m,vu,0.4
48342109,parablennius cornutus,horned blenny,NA,"12.1, 12.6, 9.2",< 200 m,lc,0
48342111,salarias fasciatus,banded jewelled-blenny,NA,"12.1, 12.6, 9.2, 9.3, 9.8, 9.8.4",< 200 m,lc,0
48342115,blenniella chrysospilos,orange-spotted blenny,NA,"12.1, 9.2, 9.8",< 200 m,lc,0
48342117,cirripectes fuscoguttatus,dusky spotted blenny,NA,"12.1, 9.2, 9.8",< 200 m,lc,0
48342119,omobranchus fasciolatoceps,NA,NA,"9.10, 9.3",< 200 m,lc,0
48342120,oman ypsilon,oman blenny,NA,9.2,< 200 m,vu,0.4
48342122,praealticus triangulus,NA,NA,"12.1, 12.6",< 20 m,lc,0
48342123,ecsenius polystictus,andaman combtooth-blenny,NA,9.8,< 200 m,lc,0
48342125,blenniella leopardus,NA,NA,"12.1, 9.2, 9.3, 9.4, 9.8",< 200 m,lc,0
48342126,blenniella paula,blue-dashed rockskipper,NA,"12.1, 9.2, 9.8",< 200 m,lc,0
48342128,salarias nigrocinctus,NA,NA,"12.1, 9.2, 9.8",< 200 m,lc,0
48342129,entomacrodus randalli,NA,NA,"12.1, 12.6, 9.2",< 200 m,lc,0
48342130,salarias guttatus,blue-spot blenny,NA,"9.2, 9.3, 9.7, 9.8, 9.8.6",< 200 m,lc,0
48342133,istiblennius flaviumbrinus,NA,NA,"12.1, 12.6",< 20 m,lc,0
48342134,istiblennius bellus,imspringer,NA,"9.2, 9.8",< 200 m,lc,0
48342137,exallias brevis,leopard blenny,NA,9.8,< 200 m,lc,0
48342141,omobranchus steinitzi,NA,NA,NA,unknown,dd,NA
48342142,omobranchus loxozonus,NA,NA,"12.6, 9.2",< 200 m,lc,0
48342143,rhabdoblennius papuensis,NA,NA,"12.1, 12.6, 9.2, 9.8",< 200 m,dd,NA
48342144,entomacrodus strasburgi,NA,NA,"12.1, 12.6",< 20 m,lc,0
48342145,ecsenius pictus,pictus blenny,NA,"9.2, 9.8",< 200 m,lc,0
48342148,enchelyurus brunneolus,NA,NA,"9.2, 9.8",< 200 m,lc,0
48342149,ecsenius dentex,NA,NA,"9.2, 9.8",< 200 m,lc,0
48342150,ecsenius caeruliventris,bluebelly blenny,NA,"9.2, 9.8",< 200 m,lc,0
48342152,omobranchus hikkaduwensis,NA,NA,"12.7, 9.10, 9.2",< 200 m,vu,0.4
48342153,plagiotremus flavus,NA,NA,9.8,< 200 m,lc,0
48342154,meiacanthus grammistes,striped poison-fang blenny,NA,9.8,< 200 m,lc,0
48342158,meiacanthus limbatus,NA,NA,9.8,< 200 m,dd,NA
48342160,enchelyurus ater,black blenny,NA,9.8,< 200 m,lc,0
48342162,ecsenius sellifer,saddle blenny,NA,"9.2, 9.8",< 200 m,lc,0
48342164,meiacanthus mossambicus,mozambique fangblenny,NA,"9.3, 9.8",< 200 m,lc,0
48342166,aspidontus tractus,mimic blenny,NA,9.8,< 200 m,lc,0
48342168,omobranchus obliquus,mangrove blenny,NA,"12.6, 12.7, 9.2, 9.7, 9.8, 9.9",< 200 m,lc,0
48342170,ecsenius oculatus,NA,NA,"9.2, 9.8",< 200 m,lc,0
48342171,omobranchus germaini,germain's blenny,NA,"12.6, 9.10, 9.2, 9.8",< 200 m,lc,0
48342173,ecsenius monoculus,NA,NA,"9.2, 9.7, 9.8",< 200 m,lc,0
48342174,mimoblennius atrocinctus,banded blenny,NA,"12.1, 12.6, 9.2, 9.8",< 200 m,lc,0
48342176,entomacrodus rofeni,NA,NA,"12.1, 12.6",< 20 m,lc,0
48342177,entomacrodus marmoratus,NA,NA,"12.1, 12.6, 9.2",< 200 m,lc,0
48342178,dactyloscopus insulatus,NA,NA,"12.6, 9.4",< 200 m,vu,0.4
48342179,ecsenius shirleyae,NA,NA,"9.2, 9.8",< 200 m,lc,0
48342180,omox lupus,NA,NA,"12.7, 9.10",< 200 m,lc,0
48342181,omobranchus lineolatus,NA,NA,"12.6, 9.2",< 200 m,lc,0
48342182,cirripectes gilberti,NA,NA,"9.2, 9.8",< 200 m,lc,0
48342183,ecsenius bimaculatus,twin-spot combtooth-blenny,NA,"9.2, 9.8",< 200 m,lc,0
48342185,meiacanthus geminatus,NA,NA,9.8,< 200 m,lc,0
48342186,praealticus oortii,NA,NA,"12.1, 12.6",< 20 m,lc,0
48342187,petroscirtes variabilis,variable sabretooth blenny,NA,"9.10, 9.9",< 200 m,lc,0
48342191,petroscirtes fallax,deceiver fangblenny,NA,"9.8, 9.8.4",< 200 m,lc,0
48342193,chalaroderma ocellata,two-eyed blenny,NA,9.2,< 200 m,lc,0
48342195,ecsenius fijiensis,NA,NA,"9.2, 9.8",< 200 m,lc,0
48342196,andamia cyclocheilus,NA,NA,"12.1, 9.2",< 200 m,dd,NA
48342197,ecsenius paroculus,NA,NA,"9.2, 9.8",< 200 m,lc,0
48342198,ecsenius collettei,collete's blenny,NA,"9.2, 9.8",< 200 m,lc,0
48342200,petroscirtes marginatus,NA,NA,NA,unknown,lc,0
48342201,entomacrodus niuafoouensis,tattoo-chin rockskipper,NA,"12.1, 12.6, 9.2",< 200 m,lc,0
48342204,ecsenius schroederi,schroeder's combtooth-blenny,NA,"9.2, 9.8",< 200 m,lc,0
48342206,ecsenius prooculis,NA,NA,"9.2, 9.8",< 200 m,lc,0
48342207,meiacanthus reticulatus,NA,NA,9.8,< 200 m,dd,NA
48342208,mimoblennius cas,NA,NA,"12.1, 12.6, 9.2, 9.8",< 200 m,lc,0
48342209,andamia heteroptera,NA,NA,"12.1, 9.2",< 200 m,dd,NA
48342210,cirripectes stigmaticus,red-streaked blenny,NA,"9.2, 9.8",< 200 m,lc,0
48342213,entomacrodus striatus,blackspotted rockskipper,NA,"12.1, 12.6, 9.2",< 200 m,lc,0
48342217,praealticus bilineatus,NA,NA,"12.1, 12.6, 9.2, 9.8, 9.8.6",< 200 m,lc,0
48342218,parenchelyurus hyena,NA,NA,"12.6, 9.2",< 200 m,lc,0
48342219,blenniella bilitonensis,lined rockskipper,NA,"12.1, 12.6, 9.2, 9.8",< 200 m,lc,0
48342221,entomacrodus solus,lonely blenny,NA,9.2,< 200 m,en,0.6
48342223,parablennius tasmanianus,tasmanian blenny,NA,"12.1, 12.6, 9.10, 9.2",< 200 m,lc,0
48342225,petroscirtes breviceps,short-head sabretooth blenny,NA,"9.10, 9.2, 9.4, 9.7, 9.8, 9.9",< 200 m,lc,0
48342228,entomacrodus corneliae,NA,NA,"12.1, 9.2, 9.8",< 200 m,lc,0
48342229,praealticus caesius,NA,NA,"12.1, 12.6, 9.2, 9.8",< 200 m,lc,0
48342230,ecsenius australianus,australian blenny,NA,9.8,< 200 m,lc,0
48342232,enchelyurus flavipes,NA,NA,"9.2, 9.8",< 200 m,lc,0
48342233,andamia pacifica,NA,NA,"12.1, 9.2",< 200 m,lc,0
48342234,ecsenius lubbocki,lubbock's combtooth-blenny,NA,"9.2, 9.8",< 200 m,lc,0
48342236,meiacanthus naevius,NA,NA,9.8,< 200 m,vu,0.4
48342237,ecsenius pardus,NA,NA,9.8,< 200 m,lc,0
48342238,xiphasia matsubarai,japanese snake blenny,NA,"9.1, 9.4, 9.5",< 200 m,lc,0
48342240,ecsenius bandanus,banda clown blenny,NA,"9.2, 9.8",< 200 m,lc,0
48342243,salarias sibogai,NA,NA,"9.2, 9.8",< 200 m,lc,0
48342244,chalaroderma capito,looseskin blenny,NA,9.2,< 200 m,lc,0
48342246,atrosalarias fuscus,black blenny,NA,9.8,< 200 m,lc,0
48342248,cirripectes polyzona,barred blenny,NA,"9.2, 9.8",< 200 m,lc,0
48342250,ecsenius lividanalis,blue-head combtooth-blenny,NA,"9.2, 9.8",< 200 m,lc,0
48342252,dactyloscopus fallax,NA,NA,"12.6, 9.4, 9.8, 9.8.1",< 200 m,lc,0
48342253,antennablennius velifer,NA,NA,"9.2, 9.3, 9.4",< 200 m,dd,NA
48342254,meiacanthus luteus,yellow fangblenny,NA,9.8,< 200 m,lc,0
48342256,salarias patzneri,patzner's blenny,NA,"9.2, 9.8",< 200 m,lc,0
48342258,parablennius cyclops,NA,NA,"12.1, 12.6, 9.2, 9.8",< 200 m,lc,0
48342259,antennablennius ceylonensis,NA,NA,"12.1, 12.6, 9.2",< 200 m,lc,0
48342260,entomacrodus cymatobiotus,pacific rockskipper,NA,"9.2, 9.8",< 200 m,lc,0
48342262,ecsenius stictus,great barrier reef blenny,NA,"9.2, 9.8",< 200 m,lc,0
48342264,meiacanthus vicinus,NA,NA,9.8,< 200 m,lc,0
48342265,entomacrodus thalassinus,reef margin blenny,NA,"12.1, 12.6, 9.2",< 200 m,lc,0
48342268,malacoctenus polyporosus,NA,NA,"9.2, 9.8",< 200 m,lc,0
48342269,ecsenius stigmatura,tail-spot combtooth-blenny,NA,"9.2, 9.8",< 200 m,lc,0
48342271,istiblennius muelleri,NA,NA,"12.1, 12.6, 9.2",< 200 m,lc,0
48342272,meiacanthus phaeus,NA,NA,9.8,< 200 m,dd,NA
48342273,praealticus multistriatus,NA,NA,"12.1, 12.6",< 20 m,lc,0
48342274,cirripectes perustus,flaming blenny,NA,"9.2, 9.8",< 200 m,lc,0
48342277,cirripectes alboapicalis,NA,NA,"12.1, 9.2, 9.8",< 200 m,lc,0
48342278,ecsenius bathi,bath's comb-tooth,NA,"9.2, 9.8",< 200 m,lc,0
48342280,meiacanthus procne,NA,NA,9.8,< 200 m,lc,0
48342281,istiblennius steindachneri,NA,NA,"12.1, 12.6, 9.2",< 200 m,lc,0
48342282,parablennius serratolineatus,NA,NA,"12.1, 12.6, 9.2",< 200 m,vu,0.4
48342283,meiacanthus erdmanni,NA,NA,9.8,< 200 m,dd,NA
48342284,omobranchus smithi,NA,NA,"12.7, 9.10",< 200 m,vu,0.4
48342285,ecsenius gravieri,red sea mimic blenny,NA,"9.2, 9.8",< 200 m,lc,0
48342287,cirrisalarias bunares,NA,NA,"12.1, 9.2, 9.8",< 200 m,lc,0
48342288,medusablennius chani,NA,NA,9.8,< 200 m,vu,0.4
48342289,praealticus striatus,NA,NA,"12.1, 12.6",< 20 m,lc,0
48342290,mimoblennius rusi,rusi blenny,NA,"12.1, 12.6, 9.2",< 200 m,lc,0
48342292,stanulus seychellensis,seychelles blenny,NA,"12.1, 12.6, 9.2, 9.8, 9.8.1",< 200 m,lc,0
48342294,meiacanthus cyanopterus,NA,NA,9.8,< 200 m,lc,0
48342295,meiacanthus ditrema,one-striped poison-fang blenny,NA,9.8,< 200 m,lc,0
48342298,blenniella cyanostigma,striped rockskipper,NA,"12.1, 9.2, 9.8",< 200 m,lc,0
48342300,petroscirtes thepassii,thepas' sabretooth blenny,NA,9.9,< 200 m,lc,0
48342303,cirripectes chelomatus,lady musgrave blenny,NA,9.8,< 200 m,lc,0
48342305,salarias sexfilum,NA,NA,"12.1, 12.6, 9.8",< 200 m,lc,0
48342306,cirripectes jenningsi,NA,NA,"9.2, 9.8",< 200 m,lc,0
48342307,ecsenius aequalis,fourline blenny,NA,9.8,< 200 m,lc,0
48342309,petroscirtes xestus,bearded sabretooth blenny,NA,"9.3, 9.8, 9.8.6",< 200 m,lc,0
48342312,omobranchus elongatus,chevroned blenny,NA,"9.10, 9.2, 9.3",< 200 m,lc,0
48342314,stanulus talboti,talbot's blenny,NA,"9.8, 9.8.6",< 200 m,lc,0
48342316,praealticus tanegasimae,NA,NA,"12.1, 12.6, 9.2",< 200 m,lc,0
48342317,ecsenius namiyei,black combtooth-blenny,NA,"9.10, 9.8",< 200 m,lc,0
48342320,enchelyurus petersi,NA,NA,"12.1, 12.6, 9.2, 9.8",< 200 m,lc,0
48342321,istiblennius lineatus,black-lined blenny,NA,"12.1, 12.6, 9.2",< 200 m,lc,0
48342325,petroscirtes springeri,NA,NA,9.2,< 200 m,lc,0
48342326,entomacrodus sealei,seale's blenny,NA,"12.1, 12.6, 9.2",< 200 m,lc,0
48342328,ecsenius randalli,NA,NA,"9.2, 9.8",< 200 m,vu,0.4
48342329,ecsenius lineatus,lined combtooth-blenny,NA,"9.2, 9.8",< 200 m,lc,0
48342332,omobranchus elegans,NA,NA,"9.10, 9.2, 9.3",< 200 m,lc,0
48342333,ecsenius midas,midas blenny,NA,"9.2, 9.8",< 200 m,lc,0
48342337,istiblennius unicolor,pallid rockskipper,NA,"12.1, 12.6",< 20 m,lc,0
48342339,ecsenius tricolor,derawan combtooth-blenny,NA,9.8,< 200 m,vu,0.4
48342341,ecsenius fourmanoiri,NA,NA,"9.2, 9.8",< 200 m,lc,0
48342342,praealticus natalis,natal blenny,NA,"12.1, 12.6",< 20 m,vu,0.4
48342345,ecsenius niue,NA,NA,9.8,< 200 m,lc,0
48342346,aspidontus taeniatus,cleaner mimic,NA,9.8,< 200 m,lc,0
48342349,ecsenius melarchus,java combtooth-blenny,NA,9.8,< 200 m,lc,0
48342351,malacoctenus mexicanus,NA,NA,"9.2, 9.3, 9.8",< 200 m,lc,0
48342352,cirripectes imitator,imitator blenny,NA,"9.2, 9.8",< 200 m,lc,0
48342354,salarias ramosus,snowflake blenny,NA,"9.2, 9.3, 9.8",< 200 m,lc,0
48342356,entomacrodus lemuria,NA,NA,"12.1, 9.2",< 200 m,lc,0
48342357,mimoblennius lineathorax,NA,NA,9.2,< 200 m,vu,0.4
48342359,salarias segmentatus,segmented blenny,NA,"9.2, 9.8",< 200 m,lc,0
48342362,laiphognathus multimaculatus,spotty blenny,NA,"9.2, 9.8",< 200 m,lc,0
48342364,ecsenius tigris,tiger blenny,NA,9.8,< 200 m,vu,0.4
48342366,plagiotremus tapeinosoma,piano fangblenny,NA,"9.2, 9.3, 9.8",< 200 m,lc,0
48342371,cirripectes kuwamurai,NA,NA,"9.2, 9.8",< 200 m,lc,0
48342372,ecsenius minutus,NA,NA,"9.2, 9.8",< 200 m,lc,0
48342373,meiacanthus vittatus,one-striped fangblenny,NA,9.8,< 200 m,lc,0
48342376,meiacanthus nigrolineatus,blackline fangblenny,NA,9.8,< 200 m,lc,0
48342378,meiacanthus urostigma,NA,NA,9.8,< 200 m,lc,0
48342379,istiblennius zebra,zebra blenny,NA,"12.1, 12.6",< 20 m,lc,0
48342381,omobranchus banditus,bandit blenny,NA,"9.10, 9.2, 9.6, 9.9",< 200 m,lc,0
48342383,entomacrodus epalzeocheilos,fringelip rockskipper,NA,"9.2, 9.8, 9.8.1",< 200 m,lc,0
48342385,ecsenius bicolor,bicolor blenny,NA,"9.2, 9.8",< 200 m,lc,0
48342388,plagiotremus spilistius,NA,NA,"9.3, 9.8",< 200 m,lc,0
48342389,entomacrodus decussatus,wavyline rockskipper,NA,"9.2, 9.8",< 200 m,lc,0
48342391,petroscirtes pylei,NA,NA,NA,unknown,lc,0
48342392,plagiotremus goslinei,biting blenny,NA,9.8,< 200 m,lc,0
48342394,petroscirtes lupus,wolf fangblenny,NA,"9.7, 9.8, 9.9",< 200 m,lc,0
48342396,ophioblennius clippertonensis,NA,NA,"9.2, 9.8",< 200 m,vu,0.4
48342397,meiacanthus oualanensis,NA,NA,9.8,< 200 m,lc,0
48342398,meiacanthus crinitus,schooling harptail blenny,NA,9.8,< 200 m,lc,0
48342400,praealticus poptae,marianas rockskipper,NA,"12.1, 12.6, 9.2, 9.8",< 200 m,lc,0
48342402,cirripectes variolosus,banded fringe blenny,NA,"9.2, 9.8",< 200 m,lc,0
48342405,meiacanthus bundoon,bundoon blenny,NA,"9.3, 9.8",< 200 m,lc,0
48342407,andamia reyi,suckerlip blenny,NA,"12.1, 9.2",< 200 m,dd,NA
48342409,haptogenys bipunctata,NA,NA,9.10,< 200 m,dd,NA
48342410,laiphognathus longispinis,NA,NA,"9.2, 9.8",< 200 m,lc,0
48342411,rhabdoblennius nigropunctatus,NA,NA,"12.1, 12.6, 9.2, 9.8",< 200 m,lc,0
48342412,plagiotremus phenax,imposter fangblenny,NA,9.8,< 200 m,lc,0
48342414,entomacrodus textilis,textile blenny,NA,"12.6, 9.2",< 200 m,lc,0
48342416,meiacanthus fraseri,NA,NA,9.8,< 200 m,lc,0
48342417,meiacanthus lineatus,lined fangblenny,NA,9.8,< 200 m,lc,0
48342419,andamia expansa,NA,NA,"12.1, 9.2",< 200 m,dd,NA
48342420,omobranchus woodi,kappie blenny,NA,"12.4, 12.6, 9.10",< 200 m,lc,0
48342422,blenniella gibbifrons,picture rockskipper,NA,"12.1, 9.2, 9.8",< 200 m,lc,0
48342425,cirripectes springeri,spotted eye-lash blenny,NA,"9.2, 9.8",< 200 m,lc,0
48342427,atrosalarias hosokawai,NA,NA,9.8,< 200 m,lc,0
48342428,cirripectes quagga,zebra blenny,NA,"9.2, 9.8",< 200 m,lc,0
48342431,blenniella interrupta,dashed-line blenny,NA,"12.1, 9.2, 9.8",< 200 m,lc,0
48342433,enchelyurus kraussii,krauss' blenny,NA,"9.2, 9.8",< 200 m,lc,0
48342435,enneapterygius qirmiz,NA,NA,"9.2, 9.8",< 200 m,lc,0
48342436,ecsenius isos,NA,NA,"9.2, 9.8",< 200 m,lc,0
48342437,paralticus amboinensis,big-nose blenny,NA,"12.1, 12.6, 9.2",< 200 m,lc,0
48342440,andamia tetradactylus,NA,NA,"12.1, 9.2",< 200 m,dd,NA
48342441,istiblennius rivulatus,NA,NA,"12.1, 12.6, 9.2",< 200 m,lc,0
48342442,istiblennius meleagris,peacock rockskipper,NA,"12.1, 12.6, 9.10, 9.2",< 200 m,lc,0
48342444,atrosalarias holomelas,NA,NA,9.8,< 200 m,lc,0
48342445,meiacanthus smithi,disco blenny,NA,9.8,< 200 m,lc,0
48342448,dodekablennos fraseri,NA,NA,"12.1, 12.6, 9.2",< 200 m,lc,0
48342449,ecsenius aroni,aron's blenny,NA,9.8,< 200 m,lc,0
48342451,ecsenius yaeyamaensis,pale-spotted combtooth-blenny,NA,"9.2, 9.8",< 200 m,lc,0
48342454,dactyloscopus heraldi,NA,NA,12.6,< 20 m,lc,0
48342455,parablennius postoculomaculatus,NA,NA,"12.1, 12.6, 9.10, 9.2, 9.8",< 200 m,lc,0
48342456,ecsenius opsifrontalis,comical blenny,NA,9.8,< 200 m,lc,0
48342458,ecsenius nalolo,nalolo,NA,"9.2, 9.8",< 200 m,lc,0
48342460,meiacanthus abditus,upside-down harptail blenny,NA,9.8,< 200 m,lc,0
48342462,scartella emarginata,maned blenny,NA,"12.1, 12.6, 9.2",< 200 m,lc,0
48342464,parablennius laticlavius,crested blenny,NA,"12.1, 12.6, 9.2",< 200 m,lc,0
48342466,meiacanthus kamoharai,NA,NA,9.8,< 200 m,lc,0
48342467,parablennius lodosus,mud blenny,NA,"12.1, 12.6, 9.2",< 200 m,vu,0.4
48342469,ecsenius frontalis,smooth-fin blenny,NA,"9.2, 9.8",< 200 m,lc,0
48342471,rhabdoblennius snowi,snow blenny,NA,"12.1, 12.6, 9.2, 9.8, 9.8.1",< 200 m,lc,0
48342473,litobranchus fowleri,fowler's rockskipper,NA,"12.1, 12.6, 9.2, 9.8",< 200 m,lc,0
48342475,praealticus labrovittatus,crenulate-lipped rockskipper,NA,"12.1, 12.6",< 20 m,lc,0
48342477,plagiotremus rhinorhynchos,bluestriped fangblenny,NA,"9.8, 9.8.4",< 200 m,lc,0
48342482,istiblennius dussumieri,dussumier's rockskipper,NA,"12.1, 12.6, 9.2",< 200 m,lc,0
48342485,praealticus margaritatus,NA,NA,"12.1, 12.6",< 20 m,lc,0
48342486,cirripectes hutchinsi,NA,NA,"9.2, 9.8",< 200 m,lc,0
48342487,antennablennius sexfasciatus,NA,NA,9.2,< 200 m,dd,NA
48342488,rhabdoblennius nitidus,NA,NA,"12.1, 12.6, 9.2, 9.8",< 200 m,lc,0
48342489,blenniella caudolineata,pacific blue-spotted blenny,NA,"12.1, 9.2, 9.8",< 200 m,lc,0
48342492,salarias obscurus,NA,NA,"12.1, 9.2, 9.8",< 200 m,lc,0
48342493,ecsenius axelrodi,axelrod's combtooth-blenny,NA,"9.2, 9.8",< 200 m,lc,0
48342496,glyptoparus delicatulus,delicate blenny,NA,"12.1, 9.2, 9.8",< 200 m,lc,0
48342498,ecsenius alleni,NA,NA,"9.8, 9.8.4",< 200 m,lc,0
48342499,cirripectes vanderbilti,red-head blenny,NA,"9.2, 9.8",< 200 m,lc,0
48342501,ecsenius portenoyi,NA,NA,"9.2, 9.8",< 200 m,lc,0
48342502,parablennius intermedius,horned blenny,NA,"12.1, 12.6, 9.2, 9.8",< 200 m,lc,0
48342504,ecsenius taeniatus,NA,NA,9.8,< 200 m,lc,0
48342505,nannosalarias nativitatis,christmas blenny,NA,"12.1, 9.2, 9.8",< 200 m,lc,0
48342508,ecsenius oculus,coral blenny,NA,"9.2, 9.8",< 200 m,lc,0
48342511,entomacrodus longicirrus,NA,NA,"9.2, 9.8",< 200 m,lc,0
48342512,ecsenius tessera,NA,NA,"9.2, 9.8",< 200 m,lc,0
48342513,cirripectes castaneus,chestnut blenny,NA,"12.1, 9.2, 9.8, 9.8.1",< 200 m,lc,0
48342516,salarias alboguttatus,white-spotted blenny,NA,"12.1, 12.6, 9.2, 9.8",< 200 m,lc,0
48342518,entomacrodus williamsi,NA,NA,"12.1, 12.6, 9.2",< 200 m,lc,0
48342519,rhabdoblennius rhabdotrachelus,barchin blenny,NA,"12.1, 9.2, 9.8, 9.8.1",< 200 m,lc,0
48342521,entomacrodus caudofasciatus,bartail blenny,NA,"12.1, 9.2, 9.8, 9.8.3",< 200 m,lc,0
48342523,malacoctenus sudensis,NA,NA,"9.2, 9.3, 9.8",< 200 m,lc,0
48342524,salarias luctuosus,NA,NA,"12.1, 12.6, 9.2, 9.8",< 200 m,lc,0
48342525,aspidontus dussumieri,dussumier's blenny,NA,"9.2, 9.8",< 200 m,lc,0
48342528,dactyloscopus elongatus,NA,NA,"12.7, 9.10, 9.4, 9.5",< 200 m,lc,0
48342529,omobranchus verticalis,NA,NA,"12.7, 9.10",< 200 m,lc,0
48342530,plagiotremus laudandus,bicolour fangblenny,NA,9.8,< 200 m,lc,0
48342534,entomacrodus chapmani,NA,NA,"12.1, 12.6, 9.2",< 200 m,vu,0.4
48342535,ecsenius mandibularis,queensland blenny,NA,9.8,< 200 m,lc,0
49145085,argyrosomus beccus,beck meagre,NA,"9.4, 9.5",< 200 m,dd,NA
49145114,argyrosomus coronus,dusky kob,NA,"9.10, 9.5, 9.6",< 200 m,dd,NA
49145276,argyrosomus heinii,arabian sea meagre,NA,"9.10, 9.5, 9.6",< 200 m,dd,NA
49145334,argyrosomus inodorus,silver kob,NA,"9.4, 9.5, 9.6",< 200 m,vu,0.4
49145403,argyrosomus japonicus,dusky meagre,NA,"9.10, 9.2, 9.5, 9.6, 9.8, 9.8.4",< 200 m,en,0.6
49145628,argyrosomus thorpei,squaretail kob,NA,"9.2, 9.5, 9.6",< 200 m,en,0.6
49145710,aspericorvina jubata,prickly croaker,NA,"12.7, 9.10, 9.5, 9.6",< 200 m,lc,0
49145872,atrobucca adusta,NA,NA,9.10,< 200 m,dd,NA
49167001,atrobucca alcocki,largehead croaker,NA,"9.4, 9.5, 9.6",< 200 m,lc,0
49167066,atrobucca antonbruun,NA,NA,"18, 9.5",< 200 m,dd,NA
49167129,atrobucca bengalensis,NA,NA,18,unknown,dd,NA
49167164,atrobucca brevis,orange croaker,NA,"9.4, 9.5",< 200 m,lc,0
49167992,atrobucca geniae,NA,NA,"18, 9.5",< 200 m,dd,NA
49168598,atrobucca marleyi,african blackmouth croaker,NA,9.5,< 200 m,dd,NA
49169112,atrobucca nibe,blackmouth croaker,NA,"9.3, 9.4, 9.5, 9.6",< 200 m,lc,0
49169275,atrobucca trewavasae,trewavas croaker,NA,"11.1, 11.1.2",deep oceanic,dd,NA
49169558,austronibea oedogenys,yellowtail croaker,NA,"9.10, 9.3, 9.5, 9.6, 9.8, 9.8.5",< 200 m,lc,0
49169667,bahaba polykladiskos,spine bahaba,NA,"9.10, 9.5, 9.6",< 200 m,dd,NA
